date,max_dew_point_v,max_relative_humidity_v,max_temperature_v,max_wind_speed_v,min_dew_point_v,min_relative_humidity_v,min_temperature_v,min_wind_speed_v,precipitation_v,rain_v,snow_v,snow_on_ground_v
4/3/2023,-3.64,83.54,1.95,31.66,-10.98,54.66,-6.76,5.99,1.9,1.03,0.92,5.7
3/3/2023,-3.79,83.58,1.7,31.61,-11.14,55.04,-6.96,6.04,1.87,1.01,0.91,5.7
2/3/2023,-3.83,83.64,1.6,31.78,-11.22,55.01,-7.03,6.07,1.9,1.01,0.95,5.6
1/3/2023,-3.91,83.71,1.4,31.47,-11.22,55.52,-7.07,5.99,1.9,0.99,0.97,5.5
28/2/2023,-3.92,83.94,1.29,31.42,-11.26,55.87,-7.1,5.92,1.89,1.01,0.94,5.5
27/2/2023,-3.93,83.94,1.22,31.54,-11.22,56.09,-7.09,6.02,1.88,0.98,0.96,5.4
26/2/2023,-3.94,83.79,1.18,31.63,-11.28,56.32,-7.16,6.11,1.83,0.99,0.87,5.4
25/2/2023,-3.93,84.04,1.11,31.86,-11.29,56.66,-7.19,6.03,1.78,0.96,0.85,5.5
24/2/2023,-3.92,84.24,1.03,31.64,-11.38,57.12,-7.37,5.75,1.93,1.09,0.87,5.6
23/2/2023,-3.94,84.44,0.94,31.41,-11.42,57.28,-7.45,5.58,2.01,1.1,0.97,5.7
22/2/2023,-4.05,84.4,0.82,31.24,-11.56,57.5,-7.6,5.61,1.97,1.1,0.92,5.8
21/2/2023,-4.32,84.21,0.57,31.04,-11.78,57.41,-7.8,5.7,1.94,1.07,0.91,5.9
20/2/2023,-4.53,84.19,0.26,31.33,-12.08,57.46,-8.04,5.88,1.9,1,0.96,6
19/2/2023,-4.61,84.28,0.08,31.53,-12.31,57.42,-8.27,6.05,1.87,0.97,0.98,6
18/2/2023,-4.67,84.29,-0.08,31.59,-12.45,57.62,-8.41,6.07,1.82,0.99,0.9,6.2
17/2/2023,-4.74,84.46,-0.21,31.38,-12.5,57.96,-8.49,6.07,1.77,0.92,0.91,6.4
16/2/2023,-4.87,84.44,-0.35,31.26,-12.59,58.31,-8.62,6.1,1.73,0.84,0.95,6.5
15/2/2023,-5.06,84.46,-0.6,31.13,-12.8,58.48,-8.83,6.2,1.85,0.87,1.05,6.6
14/2/2023,-5.19,84.53,-0.75,31.28,-12.91,58.59,-9,6.22,1.82,0.86,1.04,6.8
13/2/2023,-5.48,84.37,-1.03,31.3,-13.06,58.72,-9.18,6.36,1.83,0.8,1.1,6.9
12/2/2023,-5.68,84.31,-1.27,31.45,-13.39,58.59,-9.43,6.45,1.79,0.74,1.14,7
11/2/2023,-5.76,84.39,-1.41,31.49,-13.46,58.64,-9.52,6.38,1.85,0.79,1.15,7.1
10/2/2023,-5.74,84.47,-1.4,31.26,-13.39,58.82,-9.49,6.36,1.85,0.83,1.11,7.2
9/2/2023,-5.77,84.5,-1.46,31.18,-13.33,59.09,-9.47,6.45,1.73,0.69,1.14,7.3
8/2/2023,-5.72,84.57,-1.41,31.26,-13.3,59.22,-9.45,6.7,1.68,0.66,1.1,7.4
