Toronto Downtown, (31103) Hourly, Fine Particulate Matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto Downtown (31103),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Bay St./wellesley St. W.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.662972,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.388111,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 105 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,10 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,18/5/2003,5,6,10,11,12,12,11,15,16,14,14,13,13,8,2,2,5,8,7,4,7,7,7,4
31103,Fine Particulate Matter,19/5/2003,6,6,6,7,8,8,10,13,8,8,6,8,7,8,10,9,10,9,7,8,11,16,14,15
31103,Fine Particulate Matter,20/5/2003,10,11,9,8,10,12,12,11,11,10,12,13,12,10,9,9,9,14,7,0,0,1,1,1
31103,Fine Particulate Matter,21/5/2003,1,0,0,0,1,1,1,2,1,2,3,2,4,5,2,4,3,3,3,5,7,6,3,3
31103,Fine Particulate Matter,22/5/2003,3,2,2,2,1,3,3,4,3,2,4,4,2,3,3,4,4,4,4,5,6,6,7,7
31103,Fine Particulate Matter,23/5/2003,7,5,5,5,5,6,6,7,8,8,9,3,3,4,4,5,5,5,5,6,7,5,7,6
31103,Fine Particulate Matter,24/5/2003,2,2,3,5,3,3,3,4,9,10,9,9,11,12,11,14,12,11,9,12,9,13,17,8
31103,Fine Particulate Matter,25/5/2003,5,9,11,5,8,13,13,14,12,13,14,17,16,15,12,10,11,14,21,21,27,30,26,21
31103,Fine Particulate Matter,26/5/2003,21,15,19,14,5,7,9,11,8,12,18,15,16,13,14,14,14,15,13,18,16,4,0,0
31103,Fine Particulate Matter,27/5/2003,0,1,2,3,4,6,9,10,11,12,14,14,12,13,16,8,12,15,12,15,25,17,22,22
31103,Fine Particulate Matter,28/5/2003,17,5,0,0,0,0,1,7,11,1,0,0,10,8,8,8,7,4,7,3,5,1,4,4
31103,Fine Particulate Matter,29/5/2003,6,2,2,3,5,7,8,12,17,21,25,22,20,19,5,4,8,10,9,7,7,5,5,4
31103,Fine Particulate Matter,30/5/2003,3,2,1,1,1,4,3,4,4,3,3,10,12,7,5,6,7,8,10,9,9,2,3,1
31103,Fine Particulate Matter,31/5/2003,2,2,2,3,3,2,3,6,3,2,3,4,5,5,3,6,2,3,2,1,0,0,1,0
31103,Fine Particulate Matter,1/6/2003,0,1,0,0,0,1,0,0,1,0,0,0,4,2,1,2,3,2,2,3,3,3,3,2
31103,Fine Particulate Matter,2/6/2003,3,2,3,2,3,4,6,6,7,18,9999,10,12,8,11,10,12,12,10,8,6,6,7,11
31103,Fine Particulate Matter,3/6/2003,8,9,8,9,11,15,20,24,24,20,16,14,26,16,16,10,8,11,8,13,4,8,6,7
31103,Fine Particulate Matter,4/6/2003,7,12,14,14,13,21,22,22,23,21,20,18,11,5,11,14,4,8,11,8,11,10,10,9
31103,Fine Particulate Matter,5/6/2003,9,12,13,17,21,21,24,28,33,27,19,32,26,20,24,22,14,12,8,5,10,14,18,17
31103,Fine Particulate Matter,6/6/2003,21,20,21,18,17,18,24,26,36,25,29,30,26,22,23,28,29,24,23,21,19,23,26,31
31103,Fine Particulate Matter,7/6/2003,30,29,33,18,18,20,24,26,21,20,24,24,24,25,19,23,15,21,22,25,26,23,22,25
31103,Fine Particulate Matter,8/6/2003,31,34,32,25,24,19,16,16,10,10,13,19,21,17,20,20,17,19,19,17,13,11,11,6
31103,Fine Particulate Matter,9/6/2003,11,7,9,10,11,10,9,11,10,11,12,10,10,8,9,13,10,10,9,8,6,7,7,8
31103,Fine Particulate Matter,10/6/2003,8,7,13,10,8,16,20,22,17,11,12,9999,12,10,11,12,12,11,13,13,15,13,14,14
